Ronda,ID,Perfil,Tarea que se pide al participante,CU cubiertos,Criterio de exito,Tiempo objetivo,Tasa exito objetivo,Ley/heuristica,Prioridad,Soporte
2,PU-VIS-02,P3,"Tu escuela lleva 130 alumnos de primaria y secundaria: registrala",CU-VIS-001 E1,Descubre el tope de 105 y que va una propuesta por nivel,8 min,75%,Comprension de regla dura; tono,Critica,Prototipo
2,PU-VIS-03,P3,"Cambiaron los numeros: corrige tu propuesta ya enviada",CU-VIS-002,Encuentra la edicion y sabe si sigue dentro de la ventana,4 min,85%,Zeigarnik,Alta,Prototipo
2,PU-VIS-04,P3,"Dinos si tu visita ya fue aceptada y que sigue",CU-VIS-003,Lee estado y siguiente paso sin ayuda,60 s,95%,Peak-end,Alta,Prototipo
2,PU-VIS-05,P3,"Arma el itinerario: tres talleres para tu nivel el 14 de marzo","CU-VIS-010, CU-VIS-011 y CU-VIS-012",Filtra por nivel/dia/turno y entiende el cupo restante,10 min,80%,Hick; Miller (38/40 lugares),Critica,Prototipo
2,PU-VIS-06,P3,"Elimina un taller del itinerario y confirma que libero el cupo",CU-VIS-013 y CU-VIS-014,Entiende que liberar cupo es irreversible en la practica,3 min,90%,Fitts; tono,Alta,Prototipo
2,PU-VIS-07,P5,"Revisa las propuestas del dia y dictamina tres",CU-VIS-004 a CU-VIS-008,Dictamen inline sin perder el lugar en la lista,8 min,85%,Hick; Fitts,Critica,Prototipo
2,PU-VIS-08,P5,"Una escuela llamo por telefono: dala de alta y reserva por ella","CU-VIS-016, CU-VIS-010 a CU-VIS-012",Completa alta manual + reserva en una sola sesion,12 min,80%,Jakob,Alta,Prototipo
2,PU-VIS-09,P5,"Quita a esta escuela de un taller sobrevendido","CU-VIS-015, CU-VIS-016 y CU-VIS-017",No quita a la escuela equivocada; ve el efecto en el cupo,3 min,90%,Fitts,Alta,Prototipo
3,PU-STD-01,P4,"Aplica como expositor con tus documentos de empresa",CU-STD-001,Sube todos los documentos requeridos sin abandonar,15 min,85%,Hick; Miller,Critica,Pendiente
3,PU-STD-02,P4,"Te pidieron cambios en tu solicitud: corrigela y reenvia",CU-STD-002 y CU-STD-003,Encuentra que le pidieron y reenvia,6 min,85%,Zeigarnik,Alta,Pendiente
3,PU-STD-03,P4,"Encuentra en el mapa un stand de esquina disponible",CU-STD-009 y CU-STD-010,Distingue disponible de no disponible sin depender del color,5 min,85%,Estado color+texto; accesibilidad,Critica,Pendiente
3,PU-STD-04,P4,"Aparta dos stands contiguos y reservalos",CU-STD-011 y CU-STD-012,Entiende que el carrito no es una reserva hasta confirmar,5 min,85%,Zeigarnik; Peak-end,Critica,Pendiente
3,PU-STD-05,P4,"Dinos cuanto debes y para cuando",CU-STD-013 y CU-STD-017,Lee total/abonado/pendiente/descuento sin equivocarse,120 s,90%,Miller (datos formateados),Critica,Pendiente
3,PU-STD-06,P4,"Paga el 50% y registra tu comprobante",CU-STD-015 y CU-STD-016,Encuentra los datos bancarios y sube el comprobante,6 min,85%,Jakob; Doherty,Critica,Pendiente
3,PU-STD-07,P4,"Recibiste un aviso de posible cancelacion: resuelvelo",CU-STD-014 y CU-STD-025,Entiende el plazo y la accion que evita la cancelacion,4 min,85%,Zeigarnik; tono,Critica,Pendiente
3,PU-STD-12,P5,"Revisa las solicitudes del dia: acepta una, pide cambios a otra, rechaza una tercera",CU-STD-004 a CU-STD-008,No confunde rechazar con pedir cambios; el aplicante recibe el motivo,8 min,90%,Fitts; tono,Critica,Pendiente
3,PU-STD-08,P5,"Valida un pago, registra un abono manual y aplica un descuento","CU-STD-018, CU-STD-019 y CU-STD-020",Registra motivo del descuento; no confunde validar con registrar,8 min,85%,Hick; trazabilidad,Alta,Pendiente
3,PU-STD-09,P5,"Resuelve dos reservas vencidas: prorroga una y cancela otra",CU-STD-035 y CU-STD-036,No cancela la equivocada; la fecha nueva queda clara,6 min,90%,Fitts,Critica,Pendiente
3,PU-STD-10,P5,"Configura precio por m2, plazos y descuento de pronto pago",CU-STD-034,Termina sin ambiguedad sobre que parametro afecta a que,10 min,80%,Miller,Alta,Pendiente
3,PU-STD-11,P5,"Dinos quien reservo el stand B-14 y cuanto debe",CU-STD-032 y CU-STD-028 a CU-STD-031,Llega del mapa al expediente del expositor,3 min,85%,Jakob,Alta,Pendiente
3,PU-TAL-01,P2,"Registra tu taller infantil con su publico meta y modalidad",CU-TAL-002,Completa el formulario sin adjuntos y entiende el cupo,10 min,85%,Hick; Miller,Critica,Pendiente
3,PU-TAL-02,P2,"Revisa el estado de tu propuesta y corrigela si te pidieron cambios",CU-TAL-003 y CU-TAL-004,Encuentra el comentario y reenvia,5 min,85%,Zeigarnik,Alta,Pendiente
3,PU-TAL-03,P5,"Dictamina las propuestas de talleres del dia",CU-TAL-007 a CU-TAL-009,Usa contadores por estado para priorizar,8 min,85%,Hick,Alta,Pendiente
3,PU-TAL-04,P2,"Descarga tu constancia (obligatoria en talleres)",CU-TAL-005,La localiza y entiende que es obligatoria,90 s,90%,Peak-end,Media,Pendiente
3,PU-PRG-01,P5,"Programa esta actividad aceptada en sala y horario",CU-PRG-002,Ve el choque de horario antes de guardar,5 min,85%,Fitts; Doherty,Critica,Prototipo
3,PU-PRG-02,P5,"Mueve una actividad de sala y elimina otra programacion",CU-PRG-003 y CU-PRG-004,No elimina la actividad al eliminar su programacion,4 min,90%,Fitts; tono,Critica,Prototipo
3,PU-PRG-03,P5,"Programa un taller que se repite 4 veces en la semana",CU-PRG-002 A1 (vista TAL),Entiende bloque de 1:00 y el selector de repeticion,6 min,80%,Miller,Alta,Pendiente
3,PU-PRG-04,P1/P2,"Confirma que asistiras al horario que te asignaron",CU-PRG-008 y CU-PRG-009,Encuentra la confirmacion desde el correo y la completa,3 min,90%,Zeigarnik; Peak-end,Critica,Pendiente
3,PU-PRG-05,Publico,"Encuentra a que hora es la actividad X (desde el telefono)",CU-PRG-010,La encuentra en movil sin zoom ni scroll horizontal,120 s,90%,Jakob; responsive,Alta,Prototipo
3,PU-PRG-06,P5,"Exporta el programa para revisarlo con el equipo",CU-PRG-011,Obtiene el archivo y sabe que trae,90 s,90%,Doherty,Media,Pendiente
3,PU-SAL-01,P5,"Da de alta el salon Uxmal con sus cuatro salas","CU-SAL-001, CU-SAL-004 y CU-SAL-007",Entiende que el salon nace con una sala automatica,6 min,85%,Hick (CRUD inline),Alta,Pendiente
3,PU-SAL-02,P5,"Corrige el aforo de una sala a 80 personas y el nombre del salon",CU-SAL-002 y CU-SAL-005,Edita la sala correcta sin salir de la pantalla,120 s,90%,Fitts,Alta,Pendiente
3,PU-SAL-03,P5,"Elimina un salon que ya tiene actividades programadas",CU-SAL-003 y CU-SAL-006,Entiende por que el sistema no lo deja y que hacer,3 min,90%,Prevencion de error; tono,Critica,Pendiente
T,PU-TRV-01,Todos,"Completa la tarea critica de tu perfil con JavaScript desactivado","Regla 6 de CLAUDE.md; transversal",Completa la tarea; ninguna accion queda muerta,mismo objetivo,90%,Degradacion elegante,Critica,Django
T,PU-TRV-02,P5,"Imprime en blanco y negro el listado y dinos que estado tiene cada fila","CU-EVT-007, CU-VIS-004, CU-STD-028",Lee el estado sin color,120 s,95%,Estado color+texto,Critica,Prototipo
T,PU-TRV-03,P3,"Registra tu escuela desde el telefono",CU-VIS-001,Sin scroll horizontal ni objetivos de toque menores a 40px,18 min,80%,Fitts; responsive,Critica,Prototipo
T,PU-TRV-04,Todos,"Recorre el formulario solo con teclado (y con lector de pantalla)","CU-REG-001, CU-EVT-002, CU-VIS-001","Foco visible, orden logico, errores anunciados",mismo objetivo,90%,WCAG AA,Critica,Django
T,PU-TRV-05,Todos,"Sin leer el titulo, dinos en que modulo y edicion estas",Transversal,Acierta modulo y edicion por acento y barra superior,15 s,85%,Acento por dominio; Jakob,Alta,Django
T,PU-TRV-06,Todos,"Observacion: toda accion responde en menos de 400 ms o muestra indicador",Transversal,Ninguna accion queda sin respuesta visible; sin doble envio,n/a,100%,Doherty,Critica,Django
T,PU-TRV-07,Todos,"Lee este mensaje de error y dinos que harias",Transversal,Explica la accion correctiva con sus palabras,30 s,90%,Tono de UI,Alta,Django
